Date,NVDA
1/2/2020,5.970754147
1/3/2020,5.87518692
1/6/2020,5.899824142
1/7/2020,5.971253395
1/8/2020,5.982451916
1/9/2020,6.048154831
1/10/2020,6.080508232
1/13/2020,6.271145821
1/14/2020,6.154175282
1/15/2020,6.111617565
1/16/2020,6.195240498
1/17/2020,6.203949928
1/21/2020,6.170600891
1/22/2020,6.224606991
1/23/2020,6.293047428
1/24/2020,6.23381567
1/27/2020,5.977972031
1/28/2020,6.171348095
1/29/2020,6.110870361
1/30/2020,6.117589474
1/31/2020,5.884145737
2/3/2020,5.981207848
2/4/2020,6.1504426
2/5/2020,6.240782738
2/6/2020,6.327640533
2/7/2020,6.261440754
2/10/2020,6.544659138
2/11/2020,6.667106628
2/12/2020,6.782832623
2/13/2020,6.739031315
2/14/2020,7.21214056
2/18/2020,7.380877972
2/19/2020,7.83208847
2/20/2020,7.68276453
2/21/2020,7.318659782
2/24/2020,6.801249504
2/25/2020,6.521763325
2/26/2020,6.661132813
2/27/2020,6.290336132
2/28/2020,6.725381374
3/2/2020,6.883761406
3/3/2020,6.621289253
3/4/2020,7.084970951
3/5/2020,6.805566788
3/6/2020,6.625023365
3/9/2020,6.112036705
3/10/2020,6.501509666
3/11/2020,6.137683868
3/12/2020,5.386631012
3/13/2020,5.997485161
3/16/2020,4.890824318
3/17/2020,5.410535812
3/18/2020,5.05069685
3/19/2020,5.303456783
3/20/2020,5.123661518
3/23/2020,5.296483517
3/24/2020,6.205171108
3/25/2020,6.116518497
3/26/2020,6.405884743
3/27/2020,6.29357338
3/30/2020,6.613817215
3/31/2020,6.56426239
4/1/2020,6.053017139
4/2/2020,6.361807823
4/3/2020,6.073934555
4/6/2020,6.683793068
4/7/2020,6.450457573
4/8/2020,6.647684574
4/9/2020,6.548075199
4/13/2020,6.719902515
4/14/2020,7.071026325
4/15/2020,6.993579865
4/16/2020,7.338725567
4/17/2020,7.279458523
4/20/2020,7.1482234
4/21/2020,6.711435795
4/22/2020,7.125810623
4/23/2020,7.072519779
4/24/2020,7.211474419
4/27/2020,7.397994041
4/28/2020,7.255551338
4/29/2020,7.432360172
4/30/2020,7.278461456
5/1/2020,7.041889668
5/4/2020,7.253808498
5/5/2020,7.314819813
5/6/2020,7.415673256
5/7/2020,7.591982841
5/8/2020,7.781988144
5/11/2020,8.034000397
5/12/2020,7.772027493
5/13/2020,7.749615669
5/14/2020,7.999136925
5/15/2020,8.457589149
5/18/2020,8.71607399
5/19/2020,8.771108627
5/20/2020,8.934967995
5/21/2020,8.740980148
5/22/2020,8.990994453
5/26/2020,8.683702469
5/27/2020,8.49195385
5/28/2020,8.453854561
5/29/2020,8.840836525
6/1/2020,8.771853447
6/2/2020,8.790782928
6/3/2020,8.735250473
6/4/2020,8.736247063
6/5/2020,8.889217377
6/8/2020,8.774614334
6/9/2020,9.014781952
6/10/2020,9.334425926
6/11/2020,8.765893936
6/12/2020,8.901676178
6/15/2020,9.142091751
6/16/2020,9.037203789
6/17/2020,9.204127312
6/18/2020,9.186189651
6/19/2020,9.229290962
6/22/2020,9.493873596
6/23/2020,9.417387962
6/24/2020,9.20362854
6/25/2020,9.457252502
6/26/2020,9.12340641
6/29/2020,9.168251991
6/30/2020,9.464971542
7/1/2020,9.497113228
7/2/2020,9.579081535
7/6/2020,9.805295944
7/7/2020,9.837684631
7/8/2020,10.18074512
7/9/2020,10.4727354
7/10/2020,10.44308662
7/13/2020,10.01756001
7/14/2020,10.34118652
7/15/2020,10.19195652
7/16/2020,10.09977531
7/17/2020,10.16629505
7/20/2020,10.47447872
7/21/2020,10.29285908
7/22/2020,10.40272713
7/23/2020,10.09479332
7/24/2020,10.15931797
7/27/2020,10.38553429
7/28/2020,10.18024826
7/29/2020,10.42938328
7/30/2020,10.5773735
7/31/2020,10.57812023
8/3/2020,10.97225475
8/4/2020,11.18900394
8/5/2020,11.24780178
8/6/2020,11.29638195
8/7/2020,11.16085339
8/10/2020,11.12646961
8/11/2020,10.81255722
8/12/2020,11.40077209
8/13/2020,11.40350914
8/14/2020,11.52409363
8/17/2020,12.29442787
8/18/2020,12.21843624
8/19/2020,12.09660912
8/20/2020,12.09910202
8/21/2020,12.6397295
8/24/2020,12.67635155
8/25/2020,12.70599937
8/26/2020,12.72892189
8/27/2020,12.58467007
8/28/2020,13.10237694
8/31/2020,13.32834625
9/1/2020,13.77742672
9/2/2020,14.30126953
9/3/2020,12.97446632
9/4/2020,12.58270454
9/8/2020,11.87544155
9/9/2020,12.67491245
9/10/2020,12.27293301
9/11/2020,12.12614918
9/14/2020,12.83166695
9/15/2020,12.95004177
9/16/2020,12.47504425
9/17/2020,12.42420483
9/18/2020,12.15081692
9/21/2020,12.47778702
9/22/2020,12.59790516
9/23/2020,12.08552837
9/24/2020,12.30906773
9/25/2020,12.83316326
9/28/2020,12.99390221
9/29/2020,13.18405056
9/30/2020,13.48784161
10/1/2020,13.57157803
10/2/2020,13.02106667
10/5/2020,13.59948826
10/6/2020,13.69319057
10/7/2020,13.91997337
10/8/2020,13.79512119
10/9/2020,13.71935749
10/12/2020,14.18114567
10/13/2020,14.20332718
10/14/2020,14.05081081
10/15/2020,13.92595387
10/16/2020,13.76795483
10/19/2020,13.45519352
10/20/2020,13.60247898
10/21/2020,13.48211098
10/22/2020,13.31887531
10/23/2020,13.5474062
10/26/2020,13.09982014
10/27/2020,13.35451412
10/28/2020,12.58719063
10/29/2020,12.98293877
10/30/2020,12.49448109
11/2/2020,12.5410862
11/3/2020,12.97844982
11/4/2020,13.75076294
11/5/2020,14.11535645
11/6/2020,14.51608849
11/9/2020,13.58777618
11/10/2020,12.72973919
11/11/2020,13.37569714
11/12/2020,13.41432285
11/13/2020,13.25507641
11/16/2020,13.47264099
11/17/2020,13.37993336
11/18/2020,13.38641262
11/19/2020,13.39787674
11/20/2020,13.04648876
11/23/2020,13.09857273
11/24/2020,12.91689777
11/25/2020,13.19302273
11/27/2020,13.21943951
11/30/2020,13.35924816
12/1/2020,13.347785
12/2/2020,13.50179958
12/3/2020,13.35771084
12/4/2020,13.51949883
12/7/2020,13.56785774
12/8/2020,13.31184292
12/9/2020,12.89379025
12/10/2020,12.93517208
12/11/2020,12.97605705
12/14/2020,13.27071095
12/15/2020,13.32231331
12/16/2020,13.20465183
12/17/2020,13.30311584
12/18/2020,13.2340641
12/21/2020,13.29414272
12/22/2020,13.24029827
12/23/2020,12.97206497
12/24/2020,12.95661163
12/28/2020,12.86312675
12/29/2020,12.90625381
12/30/2020,13.10817623
12/31/2020,13.0176878
1/4/2021,13.07601643
1/5/2021,13.36643505
1/6/2021,12.57844448
1/7/2021,13.30585766
1/8/2021,13.23880005
1/11/2021,13.58256817
1/12/2021,13.446208
1/13/2021,13.49307251
1/14/2021,13.16252041
1/15/2021,12.82274342
1/19/2021,12.98802185
1/20/2021,13.32754803
1/21/2021,13.82786274
1/22/2021,13.67330456
1/25/2021,13.61422539
1/26/2021,13.39684963
1/27/2021,12.880826
1/28/2021,13.01369476
1/29/2021,12.95262241
2/1/2021,13.19916439
2/2/2021,13.5180006
2/3/2021,13.49182701
2/4/2021,13.6251936
2/5/2021,13.55215263
2/8/2021,14.39748001
2/9/2021,14.22248077
2/10/2021,14.72204781
2/11/2021,15.20715904
2/12/2021,14.9184866
2/16/2021,15.28643227
2/17/2021,14.86339474
2/18/2021,14.78661823
2/19/2021,14.88383389
2/22/2021,14.31471729
2/23/2021,14.10157967
2/24/2021,14.45755768
2/25/2021,13.26946163
2/26/2021,13.67529964
3/1/2021,13.80218601
3/2/2021,13.36793041
3/3/2021,12.76815128
3/4/2021,12.33489323
3/5/2021,12.42588043
3/8/2021,11.56011295
3/9/2021,12.48877239
3/10/2021,12.43690491
3/11/2021,12.96083164
3/12/2021,12.82367802
3/15/2021,13.15808487
3/16/2021,13.25783539
3/17/2021,13.30770874
3/18/2021,12.69051647
3/19/2021,12.81345367
3/22/2021,13.15309715
3/23/2021,13.03789139
3/24/2021,12.61121464
3/25/2021,12.5037365
3/26/2021,12.80696964
3/29/2021,12.91569519
3/30/2021,12.83938885
3/31/2021,13.31469154
4/1/2021,13.77702713
4/5/2021,13.9523344
4/6/2021,13.82665062
4/7/2021,14.10794258
4/8/2021,14.28100681
4/9/2021,14.36379623
4/12/2021,15.17076397
4/13/2021,15.64008045
4/14/2021,15.23859215
4/15/2021,16.09667969
4/16/2021,15.87249374
4/19/2021,15.32312965
4/20/2021,15.13311005
4/21/2021,15.32188129
4/22/2021,14.8129158
4/23/2021,15.22687149
4/26/2021,15.43908787
4/27/2021,15.34307766
4/28/2021,15.23834133
4/29/2021,15.28622246
4/30/2021,14.97176266
5/3/2021,14.79944611
5/4/2021,14.31517029
5/5/2021,14.42215252
5/6/2021,14.48648453
5/7/2021,14.77501011
5/10/2021,14.2298851
5/11/2021,14.27028179
5/12/2021,13.72391129
5/13/2021,13.63089275
5/14/2021,14.20718956
5/17/2021,14.12988472
5/18/2021,13.98051262
5/19/2021,14.03038597
5/20/2021,14.5757637
5/21/2021,14.95406055
5/24/2021,15.57274914
5/25/2021,15.60840893
5/26/2021,15.66053104
5/27/2021,15.44906139
5/28/2021,16.20365524
6/1/2021,16.22360992
6/2/2021,16.73606491
6/3/2021,16.92708588
6/4/2021,17.53406143
6/7/2021,17.57470703
6/8/2021,17.41310883
6/9/2021,17.31858063
6/10/2021,17.38517189
6/11/2021,17.78451157
6/14/2021,17.97756577
6/15/2021,17.74784279
6/16/2021,17.7695446
6/17/2021,18.61460876
6/18/2021,18.59615517
6/21/2021,18.38513184
6/22/2021,18.84358406
6/23/2021,19.01368904
6/24/2021,19.16160965
6/25/2021,18.98750687
6/28/2021,19.93932533
6/29/2021,19.98097992
6/30/2021,19.95678711
7/1/2021,20.16580391
7/2/2021,20.44017792
7/6/2021,20.65119171
7/7/2021,20.32518959
7/8/2021,19.85726357
7/9/2021,20.00442505
7/12/2021,20.46561813
7/13/2021,20.20372009
7/14/2021,19.79615021
7/15/2021,18.92289925
7/16/2021,18.11948776
7/19/2021,18.73682594
7/20/2021,18.56946564
7/21/2021,19.36563873
7/22/2021,19.54921722
7/23/2021,19.51329994
7/26/2021,19.24990654
7/27/2021,19.16410065
7/28/2021,19.4584198
7/29/2021,19.61706543
7/30/2021,19.45443726
8/2/2021,19.70485878
8/3/2021,19.76971436
8/4/2021,20.22766495
8/5/2021,20.58983421
8/6/2021,20.31945229
8/9/2021,20.24861526
8/10/2021,19.89043999
8/11/2021,19.65398026
8/12/2021,19.85951233
8/13/2021,20.14186287
8/16/2021,19.9044075
8/17/2021,19.41352654
8/18/2021,18.99648476
8/19/2021,19.7527504
8/20/2021,20.76842308
8/23/2021,21.90781403
8/24/2021,21.74319458
8/25/2021,22.16223145
8/26/2021,22.01756859
8/27/2021,22.58426857
8/30/2021,22.63614273
8/31/2021,22.33777809
9/1/2021,22.3936615
9/2/2021,22.34875488
9/3/2021,22.79481316
9/7/2021,22.61419487
9/8/2021,22.29187965
9/9/2021,22.1302166
9/10/2021,22.43058777
9/13/2021,22.10527039
9/14/2021,22.1950798
9/15/2021,22.29387283
9/16/2021,22.1950798
9/17/2021,21.85380554
9/20/2021,21.06846237
9/21/2021,21.20118523
9/22/2021,21.89471436
9/23/2021,22.43457031
9/24/2021,22.03442001
9/27/2021,21.6143055
9/28/2021,20.65533447
9/29/2021,20.47371864
9/30/2021,20.67230225
10/1/2021,20.69824982
10/4/2021,19.69037628
10/5/2021,20.40785789
10/6/2021,20.65633392
10/7/2021,21.03054428
10/8/2021,20.78705788
10/11/2021,20.65133858
10/12/2021,20.62739182
10/13/2021,20.89482498
10/14/2021,21.70012665
10/15/2021,21.81587982
10/18/2021,22.17512131
10/19/2021,22.24298096
10/20/2021,22.0563736
10/21/2021,22.64412689
10/22/2021,22.67805481
10/25/2021,23.11712837
10/26/2021,24.66485596
10/27/2021,24.39942169
10/28/2021,24.88838959
10/29/2021,25.51306343
11/1/2021,25.77251434
11/2/2021,26.34530258
11/3/2021,26.5418911
11/4/2021,29.73813438
11/5/2021,29.68923569
11/8/2021,30.73901749
11/9/2021,30.59232903
11/10/2021,29.39685631
11/11/2021,30.3258934
11/12/2021,30.3258934
11/15/2021,29.96166039
11/16/2021,30.13928604
11/17/2021,29.19927216
11/18/2021,31.60817909
11/19/2021,32.9154129
11/22/2021,31.88858604
11/23/2021,31.67902756
11/24/2021,32.60507584
11/26/2021,31.43654251
11/29/2021,33.30559158
11/30/2021,32.60707092
12/1/2021,31.37252998
12/2/2021,32.06215286
12/3/2021,30.63200378
12/6/2021,29.97730637
12/7/2021,32.36255264
12/8/2021,31.76275253
12/9/2021,30.42940331
12/10/2021,30.13798523
12/13/2021,28.10502815
12/14/2021,28.28068733
12/15/2021,30.39847183
12/16/2021,28.33058357
12/17/2021,27.74575233
12/20/2021,27.66391373
12/21/2021,29.01721764
12/22/2021,29.3415699
12/23/2021,29.58109093
12/27/2021,30.88350296
12/28/2021,30.26173973
12/29/2021,29.94137955
12/30/2021,29.52720261
12/31/2021,29.3525486
1/3/2022,30.06114197
1/4/2022,29.23179054
1/5/2022,27.54914093
1/6/2022,28.12199783
1/7/2022,27.19285011
1/10/2022,27.34554291
1/11/2022,27.76171684
1/12/2022,27.94335365
1/13/2022,26.52218819
1/14/2022,26.88845825
1/18/2022,25.85152245
1/19/2022,25.01717949
1/20/2022,24.102005
1/21/2022,23.32754898
1/24/2022,23.32555389
1/25/2022,22.27963257
1/26/2022,22.7267437
1/27/2022,21.90038872
1/28/2022,22.79460907
1/31/2022,24.43733597
2/1/2022,24.58903503
2/2/2022,25.1918335
2/3/2022,23.90040398
2/4/2022,24.27066803
2/7/2022,24.6788578
2/8/2022,25.05810165
2/9/2022,26.65192604
2/10/2022,25.77267838
2/11/2022,23.90140343
2/14/2022,24.21877098
2/15/2022,26.44234657
2/16/2022,26.45831108
2/17/2022,24.45829391
2/18/2022,23.59501839
2/22/2022,23.34351349
2/23/2022,22.34250832
2/24/2022,23.70079994
2/25/2022,24.10898781
2/28/2022,24.33653641
3/1/2022,23.43033981
3/2/2022,24.17598534
3/3/2022,23.67090225
3/4/2022,22.89431953
3/7/2022,21.31319237
3/8/2022,21.47490311
3/9/2022,22.9721756
3/10/2022,22.6168251
3/11/2022,22.05983734
3/14/2022,21.29123306
3/15/2022,22.93125153
3/16/2022,24.45148659
3/17/2022,24.72099304
3/18/2022,26.40492821
3/21/2022,26.68541718
3/22/2022,26.47579956
3/23/2022,25.58741379
3/24/2022,28.09884644
3/25/2022,27.64167404
3/28/2022,28.16771889
3/29/2022,28.60392189
3/30/2022,27.63967896
3/31/2022,27.23641014
4/1/2022,26.66345596
4/4/2022,27.31027985
4/5/2022,25.88387108
4/6/2022,24.3626442
4/7/2022,24.16400719
4/8/2022,23.07698631
4/11/2022,21.87717056
4/12/2022,21.46491814
4/13/2022,22.16264725
4/14/2022,21.21936417
4/18/2022,21.74341202
4/19/2022,22.15766144
4/20/2022,21.44295883
4/21/2022,20.14632034
4/22/2022,19.47953415
4/25/2022,19.86583138
4/26/2022,18.75385666
4/27/2022,18.38153839
4/28/2022,19.74604607
4/29/2022,18.51329422
5/2/2022,19.49750328
5/3/2022,19.56637764
5/4/2022,20.29704857
5/5/2022,18.80975342
5/6/2022,18.64105988
5/9/2022,16.91919327
5/10/2022,17.56302071
5/11/2022,16.59977913
5/12/2022,16.14560699
5/13/2022,17.6738224
5/16/2022,17.23262596
5/17/2022,18.14396477
5/18/2022,16.90722275
5/19/2022,17.09288597
5/20/2022,16.66366577
5/23/2022,16.86728859
5/24/2022,16.12464142
5/25/2022,16.94415092
5/26/2022,17.81855774
5/27/2022,18.77681351
5/31/2022,18.63807106
6/1/2022,18.28670883
6/2/2022,19.55639648
6/3/2022,18.68597603
6/6/2022,18.75185966
6/7/2022,18.89160538
6/8/2022,18.61804771
6/9/2022,18.01900864
6/10/2022,16.94673538
6/13/2022,15.62186718
6/14/2022,15.81056213
6/15/2022,16.50045204
6/16/2022,15.57594013
6/17/2022,15.85449409
6/21/2022,16.53938866
6/22/2022,16.33372307
6/23/2022,16.19893646
6/24/2022,17.09848595
6/27/2022,16.84190178
6/28/2022,15.95632744
6/29/2022,15.51703358
6/30/2022,15.13464928
7/1/2022,14.49967194
7/5/2022,14.93996239
7/6/2022,15.10569477
7/7/2022,15.83252621
7/8/2022,15.81256104
7/11/2022,15.12766266
7/12/2022,15.05777359
7/13/2022,15.13964081
7/14/2022,15.34730721
7/15/2022,15.73668098
7/18/2022,16.07513809
7/19/2022,16.96470451
7/20/2022,17.77839661
7/21/2022,18.02100563
7/22/2022,17.29117966
7/25/2022,16.99665451
7/26/2022,16.50644302
7/27/2022,17.76142311
7/28/2022,17.95510864
7/29/2022,18.1338253
8/1/2022,18.41137505
8/2/2022,18.4962368
8/3/2022,18.86264801
8/4/2022,19.18413544
8/5/2022,18.95849609
8/8/2022,17.76442146
8/9/2022,17.05855751
8/10/2022,18.06793404
8/11/2022,17.91317749
8/12/2022,18.67894745
8/15/2022,19.00143051
8/16/2022,18.84867287
8/17/2022,18.30554581
8/18/2022,18.74284172
8/19/2022,17.82032776
8/22/2022,17.00663567
8/23/2022,17.15340042
8/24/2022,17.19433594
8/25/2022,17.88422585
8/26/2022,16.2338829
8/29/2022,15.77561855
8/30/2022,15.44315434
8/31/2022,15.0697546
9/1/2022,13.91461277
9/2/2022,13.62507915
9/6/2022,13.44337177
9/7/2022,13.69603825
9/8/2022,13.97167969
9/9/2022,14.36815643
9/12/2022,14.48600388
9/13/2022,13.11380291
9/14/2022,13.11080742
9/15/2022,12.91207027
9/16/2022,13.18071556
9/19/2022,13.36447525
9/20/2022,13.15874481
9/21/2022,13.24363422
9/22/2022,12.54454899
9/23/2022,12.49960709
9/26/2022,12.21198463
9/27/2022,12.39674377
9/28/2022,12.71931934
9/29/2022,12.20399761
9/30/2022,12.1231041
10/3/2022,12.49561405
10/4/2022,13.14975548
10/5/2022,13.19170094
10/6/2022,13.11280441
10/7/2022,12.06018448
10/10/2022,11.65471649
10/11/2022,11.57082558
10/12/2022,11.48493958
10/13/2022,11.94433689
10/14/2022,11.21229458
10/17/2022,11.87242985
10/18/2022,11.95132637
10/19/2022,12.03521538
10/20/2022,12.17803097
10/21/2022,12.4496727
10/24/2022,12.5824995
10/25/2022,13.24363422
10/26/2022,12.87911129
10/27/2022,13.15874481
10/28/2022,13.81588173
10/31/2022,13.47932339
11/1/2022,13.52526569
11/2/2022,13.20168781
11/3/2022,13.4034214
11/4/2022,14.13746071
11/7/2022,14.28227043
11/8/2022,14.58287716
11/9/2022,13.75795746
11/10/2022,15.72937489
11/11/2022,16.30561829
11/14/2022,16.27366066
11/15/2022,16.64417458
11/16/2022,15.88916206
11/17/2022,15.65646935
11/18/2022,15.38882065
11/21/2022,15.2969408
11/22/2022,16.01699638
11/23/2022,16.49736595
11/25/2022,16.24869347
11/28/2022,15.80626965
11/29/2022,15.61851788
11/30/2022,16.905159
12/1/2022,17.11693764
12/2/2022,16.85821152
12/5/2022,16.59248924
12/6/2022,15.97014618
12/7/2022,16.10300827
12/8/2022,17.15090179
12/9/2022,16.98307419
12/12/2022,17.51651382
12/13/2022,18.05294991
12/14/2022,17.6553688
12/15/2022,16.93413162
12/16/2022,16.55353355
12/19/2022,16.236866
12/20/2022,16.06804276
12/21/2022,16.48360825
12/22/2022,15.3228302
12/23/2022,15.18997097
12/27/2022,14.10611439
12/28/2022,14.02120495
12/29/2022,14.58760643
12/30/2022,14.59859562
1/3/2023,14.29990864
1/4/2023,14.73344994
1/5/2023,14.24996376
1/6/2023,14.84333611
1/9/2023,15.61152649
1/10/2023,15.89222813
1/11/2023,15.98413181
1/12/2023,16.49359512
1/13/2023,16.88118935
1/17/2023,17.68334198
1/18/2023,17.35868263
1/19/2023,16.7473278
1/20/2023,17.82019806
1/23/2023,19.17276764
1/24/2023,19.24469376
1/25/2023,19.30263138
1/26/2023,19.78112602
1/27/2023,20.34353447
1/30/2023,19.14179993
1/31/2023,19.5164032
2/1/2023,20.92092514
